,actuals,predictions
0,33.0,21.994106
1,33.0,23.472912
2,33.0,24.133425
3,33.0,24.906906
4,33.0,25.273466
5,33.0,25.537363
6,33.0,22.408283
7,33.0,24.624798
8,33.0,25.050282
9,33.0,26.01683
10,33.0,26.445
11,33.0,26.726084
12,33.0,22.423752
13,33.0,25.434483
14,33.0,25.82312
15,33.0,26.384579
16,33.0,26.671806
17,33.0,26.806034
18,33.0,23.378359
19,33.0,25.579731
20,33.0,25.877533
21,33.0,26.522879
22,33.0,26.779194
23,33.0,26.77781
24,33.0,22.783337
25,33.0,25.764793
26,33.0,26.038265
27,33.0,26.497051
28,33.0,26.562838
29,33.0,26.582245
30,33.0,24.060917
31,33.0,26.336735
32,33.0,26.541584
33,33.0,26.745173
34,33.0,26.795036
35,33.0,26.897327
36,33.0,23.998716
37,33.0,26.431622
38,33.0,26.432192
39,33.0,26.618782
40,33.0,26.759954
41,33.0,26.877739
42,33.0,23.813902
43,33.0,26.196785
44,33.0,26.288305
45,33.0,26.595423
46,33.0,26.788408
47,33.0,27.299686
48,33.0,23.778162
49,33.0,26.118793
50,33.0,26.317677
51,33.0,26.670258
52,33.0,27.232512
53,33.0,28.227951
54,33.0,23.58768
55,33.0,25.766737
56,33.0,26.220013
57,33.0,27.01595
58,33.0,28.111664
59,33.0,29.162853
60,33.0,22.73838
61,33.0,25.195808
62,33.0,26.234388
63,33.0,27.715971
64,33.0,28.911587
65,33.0,29.847153
66,33.0,22.832085
67,33.0,25.57322
68,33.0,27.059246
69,33.0,28.560097
70,33.0,29.617096
71,33.0,30.41602
72,33.0,23.01894
73,33.0,26.205875
74,33.0,27.725601
75,33.0,29.13752
76,33.0,30.093517
77,33.0,30.80212
78,33.0,23.276733
79,33.0,26.521711
80,33.0,28.001408
81,33.0,29.390442
82,33.0,30.315994
83,33.0,20.062809
84,33.0,23.318491
85,33.0,26.528996
86,33.0,28.015085
87,33.0,29.428555
88,33.0,19.688833
89,33.0,27.154387
90,33.0,23.291964
91,33.0,26.467953
92,33.0,27.96885
93,33.0,19.254705
94,33.0,26.31278
95,33.0,28.330536
96,33.0,23.249306
97,33.0,26.382103
98,33.0,18.633831
99,33.0,25.262577
100,33.0,27.420076
101,33.0,28.906937
102,33.0,23.196514
103,33.0,18.505798
104,33.0,23.941145
105,33.0,26.32981
106,33.0,27.996433
107,33.0,29.358234
108,33.0,17.71487
109,33.0,22.390701
110,33.0,24.056118
111,33.0,25.742924
112,33.0,27.43512
113,33.0,28.905632
114,33.0,23.367313
115,33.0,26.404713
116,33.0,27.945621
117,33.0,29.481384
118,33.0,30.536858
119,33.0,31.270374
120,33.0,23.031784
121,33.0,25.9007
122,33.0,27.442863
123,33.0,29.054657
124,33.0,30.191692
125,33.0,31.009998
126,33.0,22.95205
127,33.0,25.742897
128,33.0,27.239029
129,33.0,28.894077
130,33.0,30.077396
131,33.0,30.93663
132,33.0,22.891636
133,33.0,25.54918
134,33.0,27.018497
135,33.0,28.697605
136,33.0,29.924778
137,33.0,30.828747
138,33.0,22.798628
139,33.0,25.330338
140,33.0,26.751522
141,33.0,28.44386
142,33.0,29.717472
143,33.0,30.674595
144,33.0,22.712452
145,33.0,25.101534
146,33.0,26.455296
147,33.0,28.143816
148,33.0,29.457245
149,33.0,30.540794
150,33.0,22.616398
151,33.0,24.84166
152,33.0,26.101917
153,33.0,27.764208
154,33.0,29.167526
155,33.0,30.210007
156,33.0,22.505142
157,33.0,24.533772
158,33.0,25.66925
159,33.0,27.295572
160,33.0,28.631565
161,33.0,29.720959
162,33.0,22.374432
163,33.0,24.177124
164,33.0,25.125534
165,33.0,26.609772
166,33.0,27.917871
167,33.0,28.965332
168,33.0,22.228144
169,33.0,23.711441
170,33.0,24.476902
171,33.0,25.797012
172,33.0,26.947495
173,33.0,27.952957
174,33.0,21.959764
175,33.0,23.22401
176,33.0,23.753853
177,33.0,24.801453
178,33.0,25.773987
179,33.0,26.796474
180,33.0,21.93795
181,33.0,22.983028
182,33.0,23.32713
183,33.0,24.190372
184,33.0,25.101261
185,33.0,26.067238
186,33.0,21.796116
187,33.0,22.601654
188,33.0,22.778385
189,33.0,23.540085
190,33.0,24.337135
191,33.0,25.180075
192,33.0,21.649715
193,33.0,22.284637
194,33.0,22.431007
195,33.0,23.087898
196,33.0,23.758354
197,33.0,24.473433
198,33.0,21.494139
199,33.0,22.042517
200,33.0,22.124187
201,33.0,22.650473
202,33.0,23.201458
203,33.0,23.79523
204,33.0,21.397358
205,33.0,21.803423
206,33.0,21.779049
207,33.0,22.180767
208,33.0,22.62201
209,33.0,23.055527
210,33.0,21.322523
211,33.0,21.545849
212,33.0,21.424381
213,33.0,21.719416
214,33.0,22.01868
215,33.0,22.38831
216,33.0,21.261854
217,33.0,21.313576
218,33.0,21.11927
219,33.0,21.280922
220,33.0,21.547857
221,33.0,21.896225
222,33.0,21.232342
223,33.0,21.132622
224,33.0,20.840927
225,33.0,20.98225
226,33.0,21.256962
227,33.0,21.635307
228,33.0,21.219614
229,33.0,20.919289
230,33.0,20.616081
231,33.0,20.761093
232,33.0,21.074041
233,33.0,21.43048
234,33.0,21.193668
235,33.0,20.774147
236,33.0,20.488453
237,33.0,20.660095
238,33.0,20.985619
239,33.0,21.383373
240,33.0,21.219322
241,33.0,20.700668
242,33.0,20.434402
243,33.0,20.640656
244,33.0,21.024784
245,33.0,21.370825
246,33.0,21.270695
247,33.0,20.628273
248,33.0,20.431105
249,33.0,20.717907
250,33.0,21.06149
251,33.0,21.407532
252,33.0,21.256489
253,33.0,20.589542
254,33.0,20.503433
255,33.0,20.766632
256,33.0,21.115788
257,33.0,21.375475
258,33.0,21.445112
259,33.0,20.787785
260,33.0,20.704147
261,33.0,20.951786
262,33.0,21.183874
263,33.0,21.416912
264,33.0,21.588745
265,33.0,20.860413
266,33.0,20.81317
267,33.0,20.959648
268,33.0,21.170856
269,33.0,21.408108
270,33.0,21.710863
271,33.0,20.935844
272,33.0,20.848299
273,33.0,20.948734
274,33.0,21.16645
275,33.0,21.402103
276,33.0,21.780663
277,33.0,20.972122
278,33.0,20.840813
279,33.0,20.92606
280,33.0,21.150116
281,33.0,21.366531
282,33.0,22.016922
283,33.0,21.1097
284,33.0,20.916336
285,33.0,20.978558
286,33.0,21.181974
